gene	MvsTFC	MvsLFC	MvsSFC	TvsLFC	TvsSFC	LvsSFC						
SCO1373	2,14	2,65	6,53	1,24	3,05	2,46						
SCO1374	0,36	2,49	17,15	6,85	47,24	6,89						
SCO1375	2,36	13,24	60,91	5,61	25,82	4,60						
SCO1376	1,49	4,44	5,77	2,98	3,87	1,30						
SCO1378	0,26	0,12	0,35	0,45	1,33	2,97						
SCO1380	0,69	0,62	1,33	0,90	1,92	2,15						
SCO1383	0,79	0,73	0,35	0,92	0,44	0,48						
SCO1387	0,80	0,62	0,45	0,78	0,56	0,72						
SCO1392	1,16	0,91	5,31	0,78	4,57	5,86						
SCO1393	2,76	2,31	0,99	0,84	0,36	0,43						
SCO1394	6,26	9,09	16,10	1,45	2,57	1,77						
SCO1395	1,41	0,93	0,61	0,66	0,43	0,65						
SCO1396	1,23	0,66	0,51	0,53	0,42	0,78						
SCO1397	3,27	12,80	38,64	3,91	11,81	3,02						
SCO1398	2,73	9,25	28,99	3,38	10,61	3,14						
SCO1399	1,11	0,57	0,55	0,52	0,50	0,96						
SCO1401	1,16	0,69	0,57	0,59	0,50	0,83						
SCO1403	0,98	2,27	2,34	2,33	2,40	1,03						
SCO1404	1,41	1,15	0,57	0,81	0,40	0,49						
SCO1406	0,97	0,84	0,48	0,87	0,49	0,56						
SCO1410	2,06	1,33	0,17	0,65	0,08	0,13						
SCO1411	3,82	1,44	0,24	0,38	0,06	0,17						
SCO1412	3,70	1,45	0,31	0,39	0,08	0,21						
SCO1416	0,73	1,58	1,16	2,16	1,58	0,73						
SCO1419	1,01	1,52	2,63	1,50	2,60	1,73						
SCO1421	0,56	1,40	1,92	2,49	3,42	1,37						
SCO1422	0,76	0,92	1,57	1,21	2,06	1,71						
SCO1424	1,03	0,55	0,42	0,54	0,40	0,75						
SCO1425	1,39	0,91	0,64	0,66	0,46	0,70						
SCO1426	4,50	4,01	5,98	0,89	1,33	1,49						
SCO1427	2,51	2,43	3,70	0,97	1,47	1,52						
SCO1428	1,46	2,76	1,75	1,89	1,20	0,63						
SCO1431	1,80	2,46	4,46	1,37	2,48	1,81						
SCO1432	2,31	6,52	13,78	2,82	5,97	2,11						
SCO1433	0,86	0,52	0,36	0,61	0,42	0,70						
SCO1435	0,88	0,41	0,73	0,47	0,83	1,77						
SCO1436	1,05	0,51	1,32	0,49	1,25	2,56						
SCO1437	0,70	0,55	0,42	0,78	0,60	0,78						
SCO1440	0,68	1,69	3,32	2,49	4,89	1,97						
SCO1441	0,69	1,23	3,09	1,79	4,49	2,51						
SCO1442	0,67	1,24	2,95	1,86	4,41	2,38						
SCO1448	0,98	0,65	0,26	0,66	0,26	0,40						
SCO1449	0,89	0,29	0,07	0,33	0,08	0,25						
SCO1450	0,93	0,51	0,32	0,55	0,34	0,62						
SCO1451	0,94	1,58	4,03	1,68	4,27	2,54						
SCO1453	1,40	1,95	2,32	1,39	1,66	1,19						
