gene	MvsTFC	MvsLFC	MvsSFC	TvsLFC	TvsSFC	LvsSFC						
SCO2091	0,69	0,41	0,27	0,59	0,39	0,66						
SCO2092	0,65	0,41	0,20	0,63	0,31	0,49						
SCO2093	1,03	1,95	0,61	1,90	0,60	0,31						
SCO2097	1,39	1,74	2,46	1,25	1,77	1,42						
SCO2099	1,50	1,48	28,31	0,98	18,85	19,14						
SCO2100	0,93	0,62	0,44	0,66	0,47	0,71						
SCO2101	0,93	0,51	0,26	0,55	0,28	0,50						
SCO2102	1,32	1,25	2,02	0,95	1,53	1,61						
SCO2104	0,75	0,40	0,64	0,53	0,85	1,60						
SCO2106	1,09	0,69	0,41	0,64	0,38	0,60						
SCO2107	0,58	0,48	0,27	0,83	0,46	0,56						
SCO2109	0,62	0,51	0,23	0,82	0,37	0,44						
SCO2111	0,78	0,38	0,23	0,48	0,29	0,60						
SCO2112	0,82	0,46	0,42	0,56	0,51	0,91						
SCO2113	1,40	31,20	5,17	22,35	3,70	0,17						
SCO2114	0,87	0,20	0,66	0,22	0,76	3,37						
SCO2116	1,36	0,67	0,36	0,49	0,26	0,54						
SCO2118	1,53	1,58	2,81	1,03	1,83	1,78						
SCO2119	1,15	0,83	2,09	0,72	1,82	2,51						
SCO2121	0,92	0,61	0,42	0,67	0,46	0,69						
SCO2122	0,92	0,51	0,38	0,56	0,42	0,75						
SCO2125	0,83	0,64	0,41	0,78	0,50	0,64						
SCO2127	1,17	1,45	2,03	1,24	1,74	1,40						
SCO2128	0,98	0,51	0,47	0,52	0,49	0,94						
SCO2129	1,50	1,00	0,73	0,67	0,49	0,73						
SCO2131	0,68	0,47	0,47	0,69	0,69	1,01						
SCO2132	1,25	0,65	0,36	0,52	0,29	0,56						
SCO2134	0,90	0,51	0,34	0,57	0,38	0,67						
SCO2135	0,49	0,57	0,44	1,15	0,88	0,77						
SCO2136	0,97	0,40	0,35	0,41	0,36	0,88						
SCO2137	0,75	0,63	0,43	0,84	0,57	0,67						
SCO2139	0,58	0,44	0,65	0,75	1,12	1,49						
SCO2141	1,59	0,91	0,55	0,57	0,35	0,60						
SCO2142	1,01	0,50	0,34	0,50	0,34	0,68						
SCO2143	1,03	0,55	0,49	0,54	0,48	0,89						
SCO2144	0,48	0,38	0,43	0,79	0,89	1,14						
SCO2146	0,18	0,35	1,46	1,90	8,03	4,22						
SCO2148	0,88	0,54	0,28	0,61	0,31	0,52						
SCO2149	0,86	0,49	0,28	0,57	0,33	0,58						
SCO2150	0,87	0,45	0,29	0,51	0,33	0,65						
SCO2151	0,96	0,44	0,25	0,45	0,26	0,56						
SCO2152	3,17	3,97	6,83	1,25	2,15	1,72						
SCO2153	0,71	0,56	0,31	0,79	0,44	0,56						
SCO2154	0,80	0,52	0,27	0,64	0,33	0,52						
SCO2155	0,85	0,50	0,29	0,58	0,34	0,59						
SCO2156	0,85	0,48	0,29	0,57	0,34	0,60						
SCO2157	1,09	0,56	0,35	0,52	0,32	0,63						
SCO2159	2,32	1,86	1,10	0,80	0,48	0,60						
SCO2162	1,15	1,55	2,27	1,35	1,97	1,46						
SCO2164	0,52	4,52	1,08	8,66	2,08	0,24						
SCO2168	1,26	1,85	2,14	1,47	1,70	1,16						
SCO2169	0,62	0,41	0,38	0,66	0,61	0,92						
SCO2170	0,49	0,29	0,15	0,58	0,30	0,52						
SCO2171	0,33	0,18	0,06	0,56	0,18	0,32						
SCO2172	2,45	2,62	2,08	1,07	0,85	0,80						
SCO2173	0,79	0,48	0,33	0,61	0,42	0,69						
SCO2175	0,87	0,84	0,47	0,97	0,54	0,55						
SCO2176	0,55	0,32	0,17	0,58	0,31	0,53						
SCO2177	0,58	0,54	0,33	0,93	0,57	0,61						
SCO2178	0,75	0,69	0,41	0,92	0,55	0,59						
SCO2179	0,85	0,66	0,31	0,78	0,37	0,48						
SCO2183	0,49	0,55	0,30	1,13	0,61	0,54						
SCO2184	0,68	0,55	0,46	0,80	0,68	0,85						
SCO2186	1,61	2,20	3,81	1,36	2,36	1,73						
SCO2187	0,61	0,75	1,36	1,22	2,22	1,81						
SCO2188	0,36	2,16	2,99	6,04	8,37	1,39						
SCO2191	3,34	2,80	2,91	0,84	0,87	1,04						
SCO2192	3,29	43,24	35,02	13,15	10,65	0,81						
SCO2195	1,70	4,65	25,43	2,74	14,96	5,47						
SCO2196	0,92	0,77	1,82	0,83	1,97	2,37						
SCO2198	1,27	0,55	1,52	0,43	1,19	2,76						
SCO2199	1,18	0,37	0,52	0,31	0,44	1,41						
SCO2200	1,18	2,39	2,84	2,03	2,42	1,19						
SCO2204	1,30	1,34	5,36	1,02	4,11	4,01						
SCO2205	1,23	0,46	21,34	0,37	17,39	46,82						
SCO2207	1,07	0,97	20,45	0,91	19,14	21,14						
SCO2208	1,00	0,87	6,75	0,87	6,77	7,78						
SCO2209	0,63	1,04	5,50	1,66	8,77	5,29						
SCO2210	1,09	0,33	13,71	0,31	12,58	41,00						
SCO2211	1,02	0,47	6,61	0,46	6,44	13,97						
SCO2212	1,70	0,82	2,63	0,48	1,55	3,22						
SCO2213	2,84	0,47	3,90	0,17	1,37	8,24						
SCO2214	2,30	0,91	1,35	0,40	0,59	1,48						
SCO2217	0,95	3,69	298,01	3,89	313,93	80,66						
SCO2218	1,19	11,49	414,56	9,67	348,73	36,07						
SCO2219	1,44	1,48	2,23	1,03	1,55	1,51						
SCO2220	1,25	6,46	4,15	5,16	3,32	0,64						
SCO2223	0,90	0,21	0,16	0,23	0,18	0,75						
SCO2224	0,93	0,31	0,12	0,33	0,13	0,39						
SCO2227	1,32	1,49	2,48	1,13	1,88	1,67						
SCO2228	1,44	2,26	5,17	1,57	3,59	2,28						
SCO2229	1,60	2,39	6,13	1,49	3,82	2,56						
SCO2230	1,49	2,08	5,65	1,40	3,80	2,71						
SCO2231	1,90	2,37	7,42	1,25	3,91	3,13						
SCO2235	1,22	2,37	2,75	1,94	2,26	1,16						
SCO2236	1,45	3,01	3,07	2,08	2,12	1,02						
SCO2237	1,51	3,00	4,56	1,99	3,02	1,52						
SCO2241	1,32	0,96	2,06	0,73	1,56	2,14						
SCO2243	0,72	0,61	0,42	0,84	0,58	0,69						
SCO2244	1,32	1,46	2,25	1,11	1,70	1,53						
SCO2245	2,63	5,02	8,35	1,91	3,17	1,66						
SCO2246	1,41	3,59	3,35	2,54	2,37	0,93						
SCO2248	0,84	2,64	1,08	3,14	1,28	0,41						
SCO2250	1,93	10,15	13,38	5,27	6,95	1,32						
SCO2251	1,82	7,94	11,03	4,36	6,05	1,39						
SCO2252	1,10	1,90	2,51	1,73	2,29	1,32						
SCO2253	0,53	1,09	1,07	2,07	2,03	0,98						
SCO2254	0,45	0,16	0,07	0,36	0,15	0,42						
SCO2256	0,38	0,43	1,26	1,15	3,35	2,92						
SCO2257	1,36	1,33	2,51	0,98	1,85	1,88						
SCO2258	1,39	1,46	2,25	1,05	1,62	1,54						
SCO2261	1,08	0,98	0,50	0,90	0,46	0,52						
SCO2262	1,35	1,18	0,64	0,87	0,47	0,54						
SCO2263	1,16	10,36	6,80	8,92	5,85	0,66						
SCO2264	0,63	0,46	0,43	0,73	0,68	0,93						
SCO2265	1,24	1,30	3,00	1,04	2,41	2,31						
SCO2267	1,14	1,47	5,82	1,29	5,12	3,95						
SCO2269	0,68	0,32	0,38	0,47	0,55	1,16						
SCO2270	0,65	0,10	0,94	0,16	1,45	9,29						
SCO2271	0,77	0,15	1,64	0,20	2,13	10,74						
SCO2272	0,79	0,16	1,21	0,20	1,54	7,76						
SCO2273	0,64	0,15	0,84	0,23	1,32	5,68						
SCO2275	0,94	0,18	0,56	0,19	0,60	3,12						
SCO2276	0,96	0,14	0,47	0,14	0,49	3,46						
SCO2277	1,07	0,19	0,74	0,18	0,69	3,84						
SCO2281	0,77	0,49	0,45	0,64	0,58	0,91						
SCO2282	0,68	0,57	0,48	0,84	0,72	0,85						
SCO2283	0,56	0,23	0,22	0,41	0,40	0,96						
SCO2284	0,69	0,34	0,41	0,48	0,60	1,23						
SCO2286	4,10	104,85	206,43	25,60	50,39	1,97						
SCO2289	0,39	0,39	0,10	1,00	0,27	0,27						
SCO2293	0,87	1,11	0,53	1,27	0,60	0,47						
SCO2294	2,72	1,50	1,38	0,55	0,51	0,92						
SCO2295	1,43	1,23	0,71	0,86	0,50	0,58						
SCO2297	0,88	0,55	0,30	0,63	0,35	0,55						
SCO2298	0,73	0,44	0,11	0,61	0,14	0,24						
SCO2299	0,67	0,37	0,21	0,55	0,31	0,57						
SCO2300	0,81	0,55	0,36	0,68	0,45	0,67						
SCO2301	0,72	0,48	0,37	0,66	0,51	0,77						
SCO2302	4,24	209,13	169,33	49,34	39,95	0,81						
SCO2305	0,64	0,47	0,29	0,73	0,45	0,62						
SCO2306	0,60	0,42	0,35	0,70	0,58	0,83						
SCO2310	0,40	1,99	2,40	5,01	6,05	1,21						
SCO2311	1,29	10,04	9,87	7,76	7,62	0,98						
SCO2312	0,92	1,76	2,02	1,92	2,20	1,14						
SCO2316	0,82	0,63	0,28	0,77	0,34	0,44						
SCO2317	0,88	0,77	0,41	0,87	0,47	0,54						
SCO2318	0,90	0,62	0,43	0,69	0,48	0,70						
SCO2319	0,51	0,35	0,28	0,70	0,54	0,78						
SCO2320	0,83	0,53	0,21	0,64	0,25	0,40						
SCO2321	0,65	0,64	0,32	1,00	0,50	0,50						
SCO2322	0,59	0,57	0,22	0,97	0,37	0,38						
SCO2323	0,67	0,50	0,26	0,74	0,38	0,52						
SCO2324	0,72	0,39	0,22	0,54	0,31	0,57						
SCO2325	0,63	0,34	0,16	0,54	0,25	0,46						
SCO2326	0,43	0,45	0,33	1,07	0,77	0,72						
SCO2331	0,90	0,59	0,47	0,66	0,53	0,80						
SCO2332	0,85	0,65	0,40	0,76	0,47	0,63						
SCO2334	0,51	0,17	0,12	0,34	0,23	0,68						
SCO2336	0,27	0,27	0,11	0,99	0,39	0,40						
SCO2339	1,81	5,56	5,38	3,08	2,97	0,97						
SCO2341	0,85	1,86	1,23	2,20	1,46	0,66						
SCO2342	0,88	2,26	1,41	2,57	1,60	0,62						
SCO2345	0,90	0,84	0,36	0,93	0,40	0,43						
SCO2346	0,90	0,06	0,01	0,07	0,01	0,21						
SCO2347	0,56	0,33	0,28	0,59	0,51	0,85						
SCO2348	4,98	139,19	234,84	27,93	47,12	1,69						
SCO2349	1,35	4,18	5,20	3,11	3,86	1,24						
SCO2351	0,51	0,43	0,36	0,84	0,70	0,84						
SCO2352	1,63	1,93	6,29	1,19	3,86	3,25						
SCO2353	1,13	1,34	4,25	1,19	3,76	3,17						
SCO2354	0,73	0,51	2,13	0,70	2,92	4,15						
SCO2355	0,77	0,94	1,55	1,23	2,02	1,65						
SCO2357	1,46	2,03	1,92	1,39	1,31	0,95						
SCO2360	0,74	0,33	0,12	0,44	0,17	0,38						
SCO2363	1,18	2,29	3,50	1,94	2,96	1,53						
SCO2364	1,43	0,64	0,53	0,45	0,37	0,82						
SCO2365	0,94	1,19	2,60	1,26	2,76	2,19						
SCO2371	1,83	3,59	6,38	1,96	3,48	1,78						
SCO2372	0,81	3,92	6,96	4,85	8,60	1,77						
SCO2373	0,88	5,70	14,55	6,44	16,46	2,56						
SCO2377	2,15	2,12	1,93	0,99	0,90	0,91						
SCO2378	2,09	1,74	1,47	0,83	0,70	0,84						
SCO2379	2,09	2,23	2,27	1,07	1,09	1,02						
SCO2380	1,20	0,86	0,57	0,71	0,48	0,67						
SCO2381	1,33	2,84	6,55	2,13	4,92	2,31						
SCO2382	2,26	1,88	2,50	0,83	1,11	1,33						
SCO2383	2,23	2,14	0,77	0,96	0,35	0,36						
SCO2384	1,07	1,44	2,20	1,35	2,06	1,53						
SCO2385	1,11	1,42	2,41	1,28	2,17	1,69						
SCO2386	0,71	0,39	0,26	0,54	0,37	0,68						
SCO2387	0,60	0,70	0,19	1,17	0,31	0,27						
SCO2388	0,69	0,83	0,19	1,19	0,27	0,23						
SCO2389	0,91	1,13	0,33	1,24	0,36	0,29						
SCO2390	0,72	0,86	0,19	1,20	0,27	0,23						
SCO2391	1,50	2,83	4,85	1,89	3,24	1,71						
SCO2392	0,68	1,62	0,94	2,38	1,39	0,58						
SCO2393	0,95	0,79	0,33	0,83	0,35	0,42						
SCO2395	1,17	0,88	0,44	0,75	0,37	0,50						
SCO2398	0,82	0,50	0,50	0,62	0,61	0,98						
SCO2400	0,98	1,27	2,43	1,30	2,49	1,92						
SCO2401	2,17	1,17	1,14	0,54	0,53	0,98						
SCO2402	2,01	0,68	0,76	0,34	0,38	1,12						
SCO2404	1,80	5,65	9,78	3,14	5,43	1,73						
SCO2405	1,73	4,08	6,72	2,36	3,88	1,65						
SCO2406	1,78	3,40	5,44	1,91	3,06	1,60						
SCO2407	2,45	4,87	10,28	1,99	4,20	2,11						
SCO2408	1,80	3,67	85,30	2,04	47,51	23,25						
SCO2423	2,05	3,43	17,08	1,67	8,33	4,99						
SCO2424	1,01	0,65	2,21	0,64	2,19	3,42						
SCO2425	2,34	2,36	9,76	1,01	4,18	4,13						
SCO2426	4,51	4,13	6,11	0,92	1,36	1,48						
SCO2428	5,73	42,63	170,54	7,43	29,74	4,00						
SCO2429	1,69	4,91	17,45	2,90	10,30	3,55						
SCO2430	0,76	0,51	0,36	0,67	0,48	0,70						
SCO2431	0,48	0,53	1,13	1,09	2,34	2,14						
SCO2439	1,58	1,45	0,59	0,92	0,37	0,40						
SCO2440	1,58	1,61	0,58	1,02	0,37	0,36						
SCO2442	1,30	1,15	0,58	0,88	0,45	0,51						
SCO2443	1,23	0,98	0,47	0,80	0,38	0,48						
SCO2445	0,71	0,69	0,42	0,96	0,60	0,62						
SCO2446	1,73	2,70	2,52	1,56	1,46	0,93						
SCO2449	1,20	1,54	2,70	1,29	2,26	1,75						
SCO2451	0,79	0,43	0,46	0,55	0,59	1,07						
SCO2455	1,43	0,72	0,42	0,50	0,29	0,58						
SCO2456	1,59	1,04	0,61	0,65	0,39	0,59						
SCO2457	1,54	1,02	0,60	0,66	0,39	0,59						
SCO2458	1,24	0,73	0,43	0,59	0,35	0,59						
SCO2460	0,55	0,35	0,27	0,63	0,49	0,77						
SCO2461	1,35	2,64	2,81	1,95	2,08	1,07						
SCO2465	1,11	0,87	2,68	0,78	2,41	3,07						
SCO2469	1,76	2,76	7,23	1,56	4,10	2,62						
SCO2470	0,93	0,66	1,70	0,71	1,83	2,59						
SCO2471	3,28	0,57	157,28	0,17	48,01	277,63						
SCO2472	1,04	1,36	2,66	1,30	2,55	1,96						
SCO2473	1,23	0,56	17,09	0,46	13,86	30,29						
SCO2478	1,46	2,32	6,26	1,59	4,29	2,70						
SCO2481	0,79	2,88	1,62	3,65	2,05	0,56						
SCO2482	1,90	2,46	2,56	1,29	1,35	1,04						
SCO2483	1,25	1,32	0,52	1,06	0,41	0,39						
SCO2484	1,18	1,19	0,45	1,01	0,38	0,38						
SCO2485	1,58	0,58	0,05	0,36	0,03	0,08						
SCO2486	0,63	0,31	22,01	0,49	34,91	71,11						
SCO2487	1,25	0,41	104,48	0,32	83,62	257,69						
SCO2488	0,55	0,42	121,06	0,77	221,77	289,65						
SCO2490	1,35	1,30	0,54	0,97	0,40	0,41						
SCO2492	6,47	45,95	39,45	7,10	6,10	0,86						
SCO2493	1,00	1,05	0,44	1,05	0,44	0,42						
SCO2494	1,42	1,63	4,36	1,14	3,07	2,69						
SCO2495	0,95	3,12	148,75	3,27	155,78	47,62						
SCO2496	0,95	1,10	4,48	1,16	4,72	4,08						
SCO2497	0,59	0,55	0,50	0,93	0,84	0,91						
SCO2498	0,22	0,14	0,12	0,65	0,55	0,85						
SCO2501	1,58	2,35	3,01	1,49	1,91	1,28						
SCO2503	0,42	0,44	0,59	1,06	1,40	1,33						
SCO2505	0,27	0,14	0,26	0,52	0,94	1,81						
SCO2506	0,45	0,49	0,53	1,10	1,17	1,06						
SCO2507	0,47	0,61	0,60	1,28	1,28	1,00						
SCO2511	0,98	3,23	6,03	3,30	6,14	1,86						
SCO2513	3,10	19,07	42,27	6,15	13,64	2,22						
SCO2514	2,72	2,54	3,39	0,93	1,24	1,33						
SCO2515	2,29	1,83	1,88	0,80	0,82	1,02						
SCO2516	1,09	6,99	7,42	6,39	6,78	1,06						
SCO2517	1,54	44,86	56,18	29,06	36,39	1,25						
SCO2518	1,37	105,80	132,64	77,00	96,53	1,25						
SCO2519	3,90	1003,57	1226,10	257,18	314,21	1,22						
SCO2520	2,71	6,05	29,67	2,24	10,96	4,90						
SCO2521	1,83	3,48	10,06	1,90	5,50	2,89						
SCO2522	1,27	2,84	6,24	2,24	4,92	2,20						
SCO2523	1,52	3,26	6,66	2,14	4,38	2,04						
SCO2524	1,68	4,01	8,70	2,39	5,17	2,17						
SCO2525	1,00	3,04	4,28	3,04	4,28	1,41						
SCO2526	3,32	13,94	94,66	4,20	28,51	6,79						
SCO2527	3,76	3,92	11,50	1,04	3,06	2,94						
SCO2528	0,83	0,81	1,71	0,98	2,08	2,12						
SCO2529	3,89	89,79	176,16	23,10	45,32	1,96						
SCO2530	2,31	30,95	55,29	13,38	23,91	1,79						
SCO2531	2,46	4,37	5,94	1,78	2,41	1,36						
SCO2535	0,89	0,46	0,60	0,52	0,68	1,31						
SCO2536	0,60	0,27	0,28	0,44	0,47	1,05						
SCO2539	0,72	0,50	0,33	0,69	0,46	0,66						
SCO2546	0,59	0,21	0,12	0,35	0,21	0,60						
SCO2547	1,26	0,98	0,53	0,78	0,42	0,54						
SCO2548	1,54	1,32	0,73	0,86	0,47	0,55						
SCO2549	1,77	2,82	2,49	1,59	1,41	0,89						
SCO2550	1,70	2,05	4,14	1,21	2,43	2,02						
SCO2551	1,08	0,87	0,41	0,81	0,38	0,48						
SCO2552	0,68	0,41	0,23	0,60	0,33	0,55						
SCO2553	0,66	0,43	0,22	0,65	0,33	0,51						
SCO2554	0,78	0,66	0,42	0,84	0,54	0,64						
SCO2555	0,74	0,62	0,36	0,84	0,49	0,59						
SCO2556	0,68	0,46	0,25	0,68	0,37	0,55						
SCO2557	0,52	0,58	0,29	1,13	0,55	0,49						
SCO2559	0,54	0,79	1,95	1,46	3,59	2,46						
SCO2560	1,33	15,71	60,14	11,81	45,22	3,83						
SCO2563	0,57	0,77	0,41	1,34	0,72	0,54						
SCO2564	0,70	0,39	0,54	0,56	0,77	1,37						
SCO2565	0,65	0,24	0,28	0,37	0,43	1,16						
SCO2566	0,51	0,14	0,24	0,26	0,46	1,75						
SCO2568	0,68	0,34	0,18	0,50	0,27	0,54						
SCO2570	0,91	2,02	1,83	2,21	2,00	0,91						
SCO2571	0,62	0,79	0,42	1,28	0,68	0,53						
SCO2572	2,27	12,43	47,75	5,47	21,00	3,84						
SCO2573	1,64	8,66	57,56	5,27	35,03	6,64						
SCO2576	0,64	0,53	0,37	0,83	0,57	0,69						
SCO2577	0,72	0,61	0,48	0,85	0,66	0,78						
SCO2579	0,96	0,72	0,47	0,75	0,49	0,65						
SCO2581	0,90	0,55	0,50	0,62	0,55	0,89						
SCO2582	0,96	2,31	2,94	2,41	3,06	1,27						
SCO2583	2,47	1,64	2,61	0,66	1,06	1,60						
SCO2584	1,61	1,38	2,96	0,86	1,84	2,14						
SCO2586	1,99	8,71	27,09	4,38	13,64	3,11						
SCO2588	1,34	7,93	1,84	5,90	1,37	0,23						
SCO2591	1,49	0,80	0,15	0,54	0,10	0,19						
SCO2592	0,65	0,45	0,17	0,68	0,25	0,37						
SCO2593	0,66	0,40	0,15	0,61	0,23	0,38						
SCO2594	0,65	0,43	0,18	0,66	0,27	0,41						
SCO2595	0,34	0,49	0,25	1,44	0,75	0,52						
SCO2597	0,62	0,88	0,47	1,42	0,76	0,54						
SCO2598	0,84	0,54	0,41	0,65	0,50	0,76						
SCO2599	0,53	0,52	0,41	0,98	0,77	0,78						
SCO2600	0,74	0,59	0,40	0,80	0,54	0,68						
SCO2603	1,37	1,83	2,07	1,33	1,51	1,13						
SCO2605	0,54	0,43	2,86	0,79	5,26	6,62						
SCO2608	1,13	1,37	2,19	1,21	1,94	1,61						
SCO2612	0,74	0,61	0,28	0,83	0,38	0,46						
SCO2613	0,88	0,52	0,39	0,59	0,44	0,74						
SCO2614	0,70	0,40	0,31	0,57	0,44	0,77						
SCO2615	0,80	0,52	0,42	0,65	0,52	0,81						
SCO2619	1,47	1,30	0,67	0,89	0,46	0,52						
SCO2620	0,70	0,70	0,43	1,00	0,61	0,61						
SCO2626	1,11	0,48	0,70	0,43	0,63	1,47						
SCO2628	1,71	0,61	0,54	0,36	0,32	0,89						
SCO2629	1,37	0,40	0,34	0,29	0,25	0,85						
SCO2630	1,10	1,54	0,15	1,40	0,13	0,09						
SCO2631	0,36	0,05	0,03	0,15	0,08	0,56						
SCO2633	3,06	3,06	6,13	1,00	2,00	2,01						
SCO2634	0,92	3,58	1,84	3,87	1,99	0,51						
SCO2635	0,90	0,87	0,34	0,97	0,38	0,39						
SCO2636	0,56	1,24	2,03	2,24	3,64	1,63						
SCO2637	1,98	1,24	0,19	0,63	0,09	0,15						
SCO2641	1,88	6,92	3,56	3,68	1,89	0,51						
SCO2644	0,98	0,54	0,41	0,55	0,42	0,77						
SCO2648	1,06	0,58	0,41	0,55	0,39	0,71						
SCO2652	0,52	0,49	0,31	0,94	0,60	0,64						
SCO2655	1,93	3,64	10,39	1,89	5,39	2,85						
SCO2656	0,83	2,29	2,49	2,76	3,00	1,09						
SCO2657	0,80	0,50	0,31	0,62	0,39	0,63						
SCO2660	0,81	0,41	0,64	0,51	0,79	1,56						
SCO2663	1,08	1,87	3,06	1,73	2,83	1,63						
SCO2664	1,05	2,00	2,93	1,90	2,79	1,47						
SCO2668	1,57	1,59	2,68	1,01	1,71	1,69						
SCO2672	1,11	0,47	0,16	0,43	0,14	0,33						
SCO2673	1,47	0,58	0,18	0,39	0,13	0,32						
SCO2674	1,19	0,53	0,17	0,45	0,14	0,31						
SCO2675	0,69	0,63	0,29	0,92	0,43	0,46						
SCO2680	3,94	10,13	17,88	2,57	4,53	1,77						
SCO2681	0,58	1,14	2,13	1,97	3,67	1,86						
SCO2682	0,56	0,70	0,46	1,25	0,82	0,65						
SCO2695	0,90	0,76	0,49	0,85	0,54	0,64						
SCO2699	2,38	109,75	71,73	46,14	30,15	0,65						
SCO2700	1,93	34,54	17,11	17,91	8,87	0,50						
SCO2701	1,91	32,30	15,94	16,90	8,34	0,49						
SCO2702	Inf	Inf	Inf	47,29	23,95	0,51						
SCO2703	1,42	49,70	36,87	35,05	26,00	0,74						
SCO2704	1,63	2,73	1,68	1,68	1,04	0,62						
SCO2705	2,02	37,68	57,03	18,69	28,29	1,51						
SCO2714	1,80	3,95	2,64	2,19	1,46	0,67						
SCO2716	0,92	6,05	18,96	6,59	20,67	3,14						
SCO2717	0,73	14,87	67,60	20,33	92,41	4,55						
SCO2718	1,70	45,10	166,02	26,48	97,47	3,68						
SCO2719	0,86	8,91	33,76	10,31	39,04	3,79						
SCO2720	1,56	1,20	2,63	0,77	1,68	2,19						
SCO2721	0,75	1,74	1,05	2,32	1,40	0,60						
SCO2722	0,83	2,63	1,74	3,17	2,09	0,66						
SCO2723	0,81	2,19	1,33	2,71	1,65	0,61						
SCO2724	0,69	0,33	0,28	0,47	0,41	0,86						
SCO2725	1,60	2,68	4,77	1,67	2,98	1,78						
SCO2726	2,38	2,94	10,27	1,24	4,32	3,49						
SCO2727	2,46	2,75	7,95	1,12	3,23	2,89						
SCO2731	0,65	0,75	0,43	1,16	0,67	0,58						
SCO2732	1,44	4,07	3,50	2,83	2,44	0,86						
SCO2733	1,99	8,91	8,28	4,48	4,16	0,93						
SCO2736	1,08	0,54	0,72	0,50	0,66	1,34						
SCO2737	0,99	0,98	1,98	0,99	2,00	2,02						
SCO2742	0,87	1,86	1,60	2,14	1,84	0,86						
SCO2745	1,45	0,75	0,54	0,52	0,37	0,71						
SCO2746	1,58	0,80	0,46	0,51	0,29	0,58						
SCO2747	1,23	0,76	0,44	0,62	0,36	0,58						
SCO2749	0,73	0,67	0,41	0,91	0,56	0,61						
SCO2750	1,06	0,49	0,27	0,46	0,25	0,54						
SCO2751	1,12	0,57	0,34	0,50	0,30	0,59						
SCO2752	1,06	0,56	0,40	0,53	0,38	0,72						
SCO2756	0,69	0,45	0,13	0,65	0,18	0,28						
SCO2757	0,45	0,99	0,54	2,22	1,21	0,54						
SCO2758	1,17	2,88	9,53	2,46	8,16	3,31						
SCO2760	1,51	0,87	0,53	0,57	0,35	0,61						
SCO2762	0,48	0,48	0,67	1,00	1,38	1,39						
SCO2763	0,70	1,74	1,68	2,47	2,38	0,96						
SCO2764	25,26	48,67	167,20	1,93	6,62	3,44						
SCO2765	3,08	3,11	13,24	1,01	4,30	4,25						
SCO2766	5,49	13,80	199,82	2,51	36,39	14,48						
SCO2767	1,08	1,48	2,54	1,37	2,36	1,72						
SCO2769	0,41	0,27	0,28	0,67	0,68	1,02						
SCO2770	0,47	0,32	0,38	0,68	0,80	1,19						
SCO2772	0,63	0,60	0,40	0,95	0,62	0,66						
SCO2773	0,93	1,42	0,47	1,52	0,50	0,33						
SCO2774	1,08	1,85	0,49	1,71	0,45	0,27						
SCO2775	0,85	3,50	1,16	4,12	1,37	0,33						
SCO2776	2,87	35,81	4,96	12,48	1,73	0,14						
SCO2777	3,27	28,97	3,82	8,85	1,17	0,13						
SCO2778	4,06	31,74	4,75	7,82	1,17	0,15						
SCO2779	3,13	25,87	4,10	8,26	1,31	0,16						
SCO2780	0,62	0,45	0,21	0,73	0,35	0,47						
SCO2781	0,38	0,05	0,06	0,13	0,16	1,19						
SCO2782	0,33	0,08	0,66	0,24	2,03	8,35						
SCO2783	0,42	0,06	0,49	0,14	1,15	8,09						
SCO2784	0,40	0,03	0,43	0,08	1,06	13,06						
SCO2785	0,48	0,06	0,32	0,13	0,68	5,31						
SCO2786	2,91	3,20	7,72	1,10	2,65	2,41						
SCO2787	1,19	0,85	0,52	0,72	0,44	0,61						
SCO2788	0,57	0,28	0,14	0,49	0,25	0,52						
SCO2789	0,56	0,22	0,16	0,40	0,28	0,70						
SCO2791	1,10	0,46	0,35	0,42	0,32	0,76						
SCO2792	1,27	2,01	1,22	1,59	0,96	0,60						
SCO2796	0,99	0,47	0,54	0,47	0,55	1,16						
SCO2797	1,26	0,49	0,48	0,39	0,38	0,99						
SCO2798	1,19	0,30	0,38	0,25	0,32	1,28						
SCO2799	0,68	0,76	14,15	1,12	20,88	18,64						
SCO2800	1,10	1,80	2,08	1,63	1,89	1,16						
SCO2801	1,37	2,48	3,74	1,81	2,74	1,51						
SCO2804	0,77	11,04	28,40	14,27	36,71	2,57						
SCO2805	1,15	9,16	43,79	7,97	38,10	4,78						
SCO2806	0,59	0,46	0,29	0,78	0,49	0,62						
SCO2808	0,61	0,42	0,70	0,69	1,15	1,66						
SCO2809	0,67	0,44	0,70	0,65	1,04	1,60						
SCO2810	0,66	0,48	0,62	0,72	0,94	1,30						
SCO2812	0,40	0,53	0,35	1,33	0,88	0,66						
SCO2813	1,41	3,15	4,92	2,24	3,50	1,56						
SCO2815	0,70	0,65	0,42	0,94	0,60	0,64						
SCO2816	0,38	0,59	0,43	1,55	1,13	0,73						
SCO2817	1,11	2,30	3,36	2,07	3,02	1,46						
SCO2818	0,17	0,14	0,09	0,84	0,55	0,66						
SCO2819	1,05	7,41	23,61	7,03	22,40	3,19						
SCO2821	1,33	0,79	2,96	0,59	2,23	3,75						
SCO2822	2,53	10,69	30,73	4,23	12,17	2,88						
SCO2823	4,40	18,47	58,83	4,19	13,36	3,18						
SCO2827	4,77	3,00	5,50	0,63	1,15	1,83						
SCO2828	0,74	0,49	0,12	0,66	0,16	0,24						
SCO2829	0,68	0,49	0,12	0,72	0,17	0,24						
