Gene	Average log2 MII24h/MI12h	Average log2 MII48h/MI12h	Average log2 MII72h/MI12h
SCO2074	0,497	0,568	0,712
SCO5220	0,334	0,564	0,711
SCO0630	-0,447	0,371	0,704
SCO4243	0,896	1,125	0,702
SCO5952	0,554	0,822	0,698
SCO2656	0,919	0,861	0,695
SCO4648	0,839	0,755	0,694
SCO5715	0,646	0,741	0,694
SCO0137	0,732	0,567	0,694
SCO4835	0,71	0,72	0,693
SCO5716	0,918	0,544	0,693
SCO0402	0,739	1,1	0,692
SCO7472	3,223	0,78	0,69
SCO3562	-0,526	0,607	0,688
SCO6615	0,946	0,825	0,687
SCO6104	0,659	0,71	0,683
SCO4712	0,748	0,625	0,682
SCO7248	0,882	0,709	0,679
SCO0405	1,01	0,834	0,678
SCO6006	1,362	0,808	0,678
SCO7750	0,667	0,976	0,677
SCO0945	0,564	0,572	0,673
SCO1499	0,708	0,784	0,672
SCO7806	-0,964	0,795	0,666
SCO2667	0,773	0,654	0,665
SCO1992	0,825	0,544	0,665
SCO2967	0,646	1,065	0,664
SCO2821	0,28	0,878	0,664
SCO5782	-0,358	1,069	0,662
SCO6824	0,679	0,833	0,662
SCO4152	1,232	0,802	0,662
SCO5806	1,071	0,428	0,657
SCO2700	0,422	0,892	0,654
SCO7664	0,5	0,277	0,654
SCO0132	0,189	0,266	0,651
SCO5440	0,613	0,793	0,65
SCO1672	0,317	0,788	0,65
SCO2758	0,483	0,647	0,646
SCO5130	1,002	1,035	0,644
SCO1467	0,637	0,94	0,644
SCO7469	1,68	0,636	0,642
SCO4687	1,252	0,575	0,637
SCO5248	0,889	1,863	0,635
SCO5275	0,65	0,835	0,635
SCO1781	0,507	0,769	0,635
SCO7294	0,397	0,439	0,634
SCO5114	1,268	1,04	0,632
SCO5645	0,522	0,554	0,632
SCO3452	0,778	0,46	0,632
SCO6711	0,609	0,301	0,629
SCO6412	0,687	0,803	0,628
SCO4873	0,711	0,609	0,628
SCO6154	0,322	0,62	0,625
SCO4560	0,695	0,609	0,623
SCO5008	0,464	0,421	0,623
SCO3420	1,062	0,641	0,621
SCO1116	0,834	0,902	0,619
SCO4970	0,478	0,608	0,619
SCO7605	0,552	1,07	0,617
SCO7659	1,085	0,633	0,617
SCO4128	0,452	0,663	0,616
SCO6002	0,526	0,537	0,616
SCO1460	0,592	0,98	0,615
SCO6623	1,479	1,071	0,614
SCO2590	0,738	0,573	0,614
SCO6947	1,597	1,003	0,613
SCO2469	0,626	0,574	0,612
SCO7259	0,216	1,183	0,61
SCO2892	0,905	0,298	0,609
SCO1511	0,493	0,58	0,607
SCO2607	0,787	0,348	0,606
SCO2080	0,25	0,508	0,605
SCO1420	0,54	0,612	0,603
SCO2001	0,895	1,078	0,601
SCO4649	0,667	0,641	0,601
SCO0110	0,536	0,438	0,6
SCO5407	1,142	0,903	0,599
SCO1378	0,594	0,557	0,598
SCO1388	0,474	0,368	0,597
SCO4561	0,454	0,732	0,593
SCO1242	0,803	0,556	0,592
SCO3571	0,691	0,369	0,59
SCO3605	0,585	0,37	0,589
SCO7628	0,242	1,026	0,587
SCO4558	0,564	0,775	0,587
SCO0978	0,517	0,752	0,583
SCO3659	0,556	0,775	0,582
SCO1779	0,357	0,62	0,581
SCO7324	0,402	0,327	0,58
SCO4961	0,568	0,66	0,579
SCO1728	1,093	0,613	0,579
SCO5113	1,55	0,926	0,578
SCO6750	1,042	0,461	0,577
SCO1399	0,661	1,002	0,573
SCO6617	0,717	0,861	0,571
SCO6419	0,688	0,573	0,567
SCO4734	0,77	0,668	0,566
SCO0666	-0,28	-0,287	0,566
SCO3095	-0,094	0,23	0,565
SCO5748	0,372	0,574	0,564
SCO4590	0,633	0,638	0,563
SCO0720	0,432	0,798	0,553
SCO3879	0,66	0,83	0,552
SCO5508	0,484	0,347	0,552
SCO5986	0,527	1,146	0,55
SCO2696	0,533	0,401	0,55
SCO6091	-0,593	0,716	0,548
SCO5911	0,262	0,42	0,548
SCO4402	0,428	0,488	0,547
SCO1516	0,552	0,808	0,544
SCO6174	-0,418	0,628	0,541
SCO2594	1,178	0,569	0,541
SCO4933	1,518	0,475	0,54
SCO7266	0,541	0,543	0,535
SCO0286	1,092	0,413	0,535
SCO2011	1,577	1,303	0,531
SCO1444	0,45	0,515	0,529
SCO6550	1,137	0,482	0,529
SCO0885	0,461	-0,76	0,528
SCO3024	0,354	0,673	0,527
SCO2016	0,59	0,485	0,527
SCO6764	1,455	0,678	0,523
SCO6248	0,611	1,146	0,522
SCO1643	0,313	0,449	0,521
SCO1299	0,196	0,202	0,517
SCO6622	0,76	0,641	0,515
SCO6541	0,242	0,37	0,515
SCO6168	0,458	0,413	0,514
SCO0352	0,479	0,815	0,513
SCO2593	0,94	0,652	0,509
SCO6960	0,686	0,529	0,506
SCO2837	0,383	0,833	0,505
SCO6767	1,224	0,598	0,505
SCO3808	0,744	0,53	0,505
SCO0203	1,057	0,451	0,505
SCO5650	1,568	1,327	0,502
SCO6944	0,287	0,66	0,497
SCO5128	0,663	0,714	0,496
SCO1122	0,415	0,446	0,496
SCO1517	0,434	0,491	0,495
SCO0462	0,557	0,224	0,494
SCO1801	0,338	0,224	0,494
SCO6783	0,336	1,006	0,493
SCO1989	0,243	0,594	0,491
SCO2949	0,62	0,516	0,491
SCO4702	0,549	0,497	0,489
SCO6245	1,232	0,95	0,487
SCO3834	1,124	0,31	0,486
SCO6738	0,664	0,909	0,485
SCO7327	0,479	0,633	0,483
SCO7675	-0,597	-0,3	0,483
SCO5406	0,934	0,604	0,482
SCO0072	0,673	0,514	0,482
SCO2267	0,985	-0,259	0,481
SCO6598	0,389	0,438	0,48
SCO7293	0,799	0,609	0,479
SCO3687	-0,616	-0,47	0,476
SCO0431	0,537	0,689	0,473
SCO7777	0,524	0,7	0,472
SCO5586	1,199	0,442	0,468
SCO0640	0,52	0,483	0,467
SCO4722	0,694	0,656	0,462
SCO1666	1,142	0,537	0,46
SCO0687	0,486	0,358	0,458
SCO6712	0,266	0,415	0,457
SCO7474	2,483	0,581	0,455
SCO0300	1,401	0,736	0,454
SCO7559	0,463	0,81	0,453
SCO5213	0,344	0,378	0,453
SCO6466	0,429	0,719	0,452
SCO0642	0,626	0,531	0,452
SCO1907	0,762	0,567	0,45
SCO5569	0,21	0,604	0,447
SCO1418	0,301	0,485	0,447
SCO1372	0,236	0,372	0,447
SCO5281	0,854	0,317	0,447
SCO2209	-0,26	0,478	0,445
SCO3275	0,636	0,716	0,443
SCO7285	0,543	0,461	0,443
SCO2307	0,908	0,482	0,441
SCO0347	0,38	0,648	0,44
SCO5040	0,505	0,506	0,44
SCO2260	0,451	0,406	0,439
SCO1784	0,38	0,299	0,438
SCO2839	1,673	0,781	0,436
SCO1753	0,639	0,439	0,435
SCO6772	0,518	0,507	0,433
SCO2135	0,483	0,764	0,432
SCO1624	0,433	0,768	0,424
SCO6052	1,037	0,595	0,423
SCO0524	0,393	0,482	0,423
SCO0354	0,547	0,784	0,422
SCO0851	0,619	0,597	0,419
SCO2123	0,435	0,494	0,418
SCO6468	1,088	0,831	0,415
SCO2216	0,443	0,564	0,412
SCO5388	0,916	0,526	0,411
SCO1515	0,398	0,627	0,409
SCO6760	0,556	0,376	0,408
SCO1323	0,643	0,774	0,407
SCO0976	0,296	0,43	0,405
SCO1565	0,499	0,714	0,401
SCO7239	0,668	0,667	0,401
SCO6928	0,739	0,349	0,4
SCO0780	0,25	0,359	0,398
SCO3188	0,321	0,311	0,397
SCO6665	0,434	0,525	0,396
SCO0877	0,487	0,391	0,395
SCO6904	0,529	0,325	0,394
SCO3080	0,737	0,502	0,392
SCO3421	0,782	0,615	0,391
SCO5006	0,696	0,686	0,387
SCO3307	0,74	0,271	0,385
SCO1898	-0,464	0,282	0,382
SCO2879	1,756	0,843	0,376
SCO7073	0,524	0,236	0,371
SCO0879	0,375	0,423	0,37
SCO4703	0,649	0,381	0,37
SCO7323	0,583	0,375	0,368
SCO5713	0,553	0,611	0,365
SCO6614	0,383	0,427	0,365
SCO2770	0,317	0,669	0,364
SCO1261	0,264	0,209	0,363
SCO7626	-0,492	0,351	0,359
SCO0928	1,298	0,94	0,358
SCO0546	0,644	0,939	0,348
SCO5441	0,333	0,652	0,34
SCO5456	-0,494	0,397	0,338
SCO6671	0,92	0,755	0,335
SCO7544	0,368	0,499	0,331
SCO6131	0,284	0,693	0,33
SCO6536	0,325	0,37	0,329
SCO6070	0,174	0,417	0,325
SCO3636	0,364	0,439	0,323
SCO7373	0,62	0,355	0,323
SCO5173	0,354	0,552	0,321
SCO6073	2,24	1,251	0,316
SCO1868	-0,356	0,262	0,316
SCO3954	-0,354	0,493	0,315
SCO4439	0,606	0,285	0,304
SCO6769	1,285	0,457	0,303
SCO6334	-0,34	-0,366	0,303
SCO6742	0,548	0,584	0,298
SCO0842	0,43	0,305	0,296
SCO4697	0,48	0,586	0,295
SCO2902	0,548	0,406	0,292
SCO6295	-0,283	0,376	0,288
SCO7421	0,525	0,659	0,285
SCO4891	0,44	0,236	0,282
SCO6361	0,789	0,214	0,28
SCO0767	-0,361	0,364	0,269
SCO6078	0,405	0,302	0,268
SCO3826	0,557	0,358	0,267
SCO7698	0,288	0,369	0,259
SCO2478	-0,163	-0,537	0,248
SCO1175	0,251	0,454	0,245
SCO3830	0,296	-0,194	0,237
SCO6696	0,477	0,61	0,229
SCO0917	-0,374	-0,641	0,228
SCO3077	0,641	0,212	0,217
SCO6768	1,305	0,529	0,201
SCO2578	0,269	0,256	0,2
SCO5122	0,423	0,276	0,198
SCO1034	-0,337	-0,298	0,197
SCO6106	0,239	0,239	0,178
SCO5802	-0,176	0,338	0,175
SCO4692	0,414	0,323	0,16
SCO1614	-0,087	-0,34	-0,072
SCO0804	0,192	-0,163	-0,126
SCO2763	-0,234	-0,273	-0,132
SCO2537	-0,776	-0,371	-0,142
SCO1912	-0,347	-0,3	-0,153
SCO0469	0,219	-0,261	-0,167
SCO4975	-0,234	-0,264	-0,172
SCO2204	-0,693	-0,519	-0,178
SCO3609	-0,199	-0,134	-0,181
SCO4751	-0,362	-0,262	-0,193
SCO3841	-0,193	-0,178	-0,195
SCO7412	-0,205	-0,49	-0,213
SCO1972	-0,325	-0,344	-0,214
SCO7112	-0,2	-0,381	-0,22
SCO4586	-0,495	-0,369	-0,221
SCO3931	-0,522	-0,382	-0,227
SCO0918	-0,453	-0,484	-0,232
SCO2106	-0,226	-0,298	-0,237
SCO3384	-0,285	-0,313	-0,237
SCO5409	0,393	-0,377	-0,242
SCO2380	-0,205	-0,418	-0,243
SCO6046	-0,255	-0,326	-0,25
SCO4069	-0,819	-0,38	-0,251
SCO5947	-0,399	-0,331	-0,253
SCO3782	-0,444	-0,237	-0,254
SCO6335	-0,509	-0,639	-0,255
SCO3771	-0,283	-0,286	-0,256
SCO3507	-0,335	-0,212	-0,259
SCO2259	-0,487	-0,361	-0,26
SCO3757	-0,351	-0,288	-0,261
SCO5551	-0,654	-0,293	-0,265
SCO4458	-0,841	-0,408	-0,265
SCO1256	-0,871	-0,485	-0,267
SCO6121	-0,567	-0,725	-0,267
SCO7318	-0,316	-0,454	-0,272
SCO7720	-0,432	-0,331	-0,274
SCO4297	-0,502	-0,91	-0,274
SCO4797	-0,954	-0,334	-0,277
SCO2467	-0,462	-0,337	-0,283
SCO6649	0,57	-0,217	-0,285
SCO4311	-0,725	-0,231	-0,285
SCO3691	-0,883	-0,402	-0,286
SCO1569	-0,401	-0,247	-0,287
SCO5215	-0,154	-0,284	-0,292
SCO3137	0,29	-0,402	-0,293
SCO1417	-0,366	-0,343	-0,294
SCO3779	-0,195	-0,325	-0,296
SCO2072	-0,381	-0,248	-0,297
SCO1203	-0,337	-0,507	-0,299
SCO4986	-1,049	-0,405	-0,3
SCO6803	-0,23	-0,343	-0,301
SCO5837	0,328	-0,362	-0,301
SCO1184	-0,454	-0,391	-0,302
SCO2002	-0,592	-0,426	-0,302
SCO6692	-0,516	-0,346	-0,306
SCO1313	-0,68	-0,51	-0,306
SCO0796	-0,599	-0,62	-0,308
SCO2964	-0,409	-0,373	-0,309
SCO7542	-0,367	-0,658	-0,309
SCO5874	-0,535	-0,371	-0,312
SCO1881	-0,257	-0,351	-0,314
SCO2500	-0,241	-0,314	-0,315
SCO3898	-0,44	-0,503	-0,315
SCO6558	-0,359	-0,425	-0,321
SCO4149	-0,219	-0,342	-0,322
SCO1617	-0,45	-0,471	-0,326
SCO3611	-0,433	-0,713	-0,326
SCO2773	-0,463	0,588	-0,328
SCO1463	-0,319	-0,37	-0,33
SCO3554	-0,29	-0,414	-0,33
SCO5035	0,405	-0,179	-0,332
SCO0771	0,271	-0,536	-0,333
SCO3115	-0,204	-0,378	-0,334
SCO7345	-0,373	-0,378	-0,334
SCO3718	-0,27	-0,249	-0,336
SCO4585	-1,103	-0,724	-0,336
SCO6999	-0,508	-0,458	-0,341
SCO4606	-0,324	-0,29	-0,342
SCO3633	-0,482	-0,598	-0,342
SCO4871	0,255	-0,286	-0,343
SCO6512	-0,77	-0,337	-0,343
SCO4898	-0,369	-0,378	-0,344
SCO6545	-0,502	-0,449	-0,344
SCO3682	-0,561	-0,57	-0,345
SCO0913	0,657	-0,279	-0,346
SCO3147	-0,419	-0,395	-0,347
SCO5831	-0,268	-0,316	-0,351
SCO0910	0,561	-0,239	-0,353
SCO0556	-0,296	-0,305	-0,354
SCO5680	-0,538	-0,38	-0,355
SCO4195	-0,564	-0,422	-0,359
SCO4867	-0,545	-0,445	-0,359
SCO7443	0,809	-0,227	-0,362
SCO7719	-0,443	-0,456	-0,363
SCO0246	0,299	-0,568	-0,365
SCO5027	-0,561	-0,313	-0,366
SCO6535	0,896	-0,552	-0,366
SCO6986	-0,455	-0,638	-0,366
SCO7125	-0,346	-0,326	-0,368
SCO1362	-0,394	-0,444	-0,374
SCO4625	-0,693	-0,647	-0,375
SCO0252	0,556	-0,368	-0,376
SCO3099	-0,321	-0,409	-0,376
SCO3385	-0,449	-0,397	-0,377
SCO2036	-0,543	-0,622	-0,378
SCO4155	-0,434	-0,376	-0,379
SCO2623	-0,446	-0,446	-0,379
SCO3853	0,273	-0,295	-0,381
SCO6704	-0,543	-0,475	-0,381
SCO7430	-0,3	-0,531	-0,382
SCO7602	-1,083	-0,67	-0,382
SCO4386	-0,304	-0,39	-0,383
SCO5239	-0,526	-0,676	-0,383
SCO3057	-0,552	-0,91	-0,383
SCO2173	-0,361	-0,588	-0,386
SCO1761	-0,286	-0,47	-0,387
SCO0814	-0,512	-0,531	-0,387
SCO2184	-0,31	-0,468	-0,389
SCO6258	-0,455	-0,621	-0,389
SCO7517	-0,21	-0,216	-0,391
SCO5034	0,266	-0,201	-0,392
SCO6491	-0,548	-0,411	-0,393
SCO2316	-0,419	-0,236	-0,394
SCO0697	-0,424	-0,561	-0,395
SCO6810	-0,894	-1,369	-0,398
SCO1132	-0,347	-0,234	-0,401
SCO6055	-1,022	-0,587	-0,401
SCO3769	-0,346	-0,438	-0,403
SCO4680	-0,488	-0,629	-0,403
SCO1859	-0,392	-0,507	-0,404
SCO2933	-0,456	-0,56	-0,406
SCO1074	0,389	-0,374	-0,407
SCO3277	-0,749	-0,265	-0,409
SCO4825	0,312	-0,277	-0,409
SCO4197	-0,465	-0,466	-0,41
SCO1587	-0,339	-0,473	-0,411
SCO6135	-0,285	-0,487	-0,413
SCO1139	-0,41	-0,49	-0,413
SCO1475	-0,842	-0,491	-0,415
SCO5763	-0,391	-0,377	-0,416
SCO5252	0,565	-0,564	-0,417
SCO4315	-0,522	-0,588	-0,417
SCO3873	-0,729	-0,759	-0,417
SCO0247	0,541	-0,771	-0,417
SCO0306	-0,42	-0,542	-0,421
SCO2178	0,547	-0,454	-0,424
SCO1286	-0,454	-0,271	-0,425
SCO5025	-0,501	-0,402	-0,427
SCO6054	-0,327	-0,41	-0,428
SCO5687	-0,522	-0,505	-0,43
SCO0365	-0,459	-0,565	-0,43
SCO6288	-0,566	-0,739	-0,432
SCO6802	0,478	-0,465	-0,433
SCO5378	-0,385	-0,469	-0,433
SCO6138	-0,45	-0,437	-0,436
SCO3684	-0,733	-0,708	-0,437
SCO7376	-0,361	-0,721	-0,438
SCO5509	-0,343	-0,562	-0,439
SCO2399	-0,364	-0,452	-0,444
SCO3303	-0,382	-0,444	-0,445
SCO1864	-0,959	-0,541	-0,446
SCO6866	-0,557	-0,593	-0,447
SCO3331	-0,417	-0,47	-0,448
SCO2576	-0,299	-0,542	-0,449
SCO3332	0,634	-0,475	-0,45
SCO3315	-0,466	-0,246	-0,451
SCO5449	-0,24	-0,496	-0,452
SCO3075	-0,875	-0,449	-0,455
SCO1190	-0,51	-0,438	-0,456
SCO3168	-0,525	-0,476	-0,457
SCO1147	-0,762	-0,489	-0,457
SCO2756	-0,404	-0,578	-0,458
SCO1671	-1,175	-0,702	-0,464
SCO1225	-1,27	-1,019	-0,467
SCO5607	0,528	-0,406	-0,469
SCO1509	-0,769	-0,544	-0,469
SCO1818	-0,303	-0,334	-0,47
SCO1099	-0,514	-0,457	-0,472
SCO6420	-0,502	-0,555	-0,472
SCO4083	-0,529	-0,469	-0,473
SCO3383	-0,531	-0,65	-0,475
SCO7496	-0,487	-0,516	-0,476
SCO0606	-0,545	-0,528	-0,476
SCO6703	-0,546	-0,427	-0,477
SCO0123	-0,446	-0,526	-0,477
SCO5139	-0,468	-0,339	-0,479
SCO4374	-0,7	-0,388	-0,479
SCO4551	0,348	-0,504	-0,481
SCO7013	-0,527	0,857	-0,482
SCO6854	-0,532	-0,521	-0,484
SCO2266	0,445	-0,403	-0,485
SCO3640	-0,499	-0,572	-0,485
SCO4264	-0,858	-0,79	-0,485
SCO3432	-0,467	-0,484	-0,486
SCO4608	-0,282	-0,204	-0,487
SCO3669	-1,428	-0,648	-0,488
SCO5816	-0,528	-0,464	-0,489
SCO3100	-0,567	-0,594	-0,489
SCO7625	-0,416	-0,595	-0,489
SCO4548	-0,414	-0,357	-0,49
SCO2861	0,518	-0,737	-0,49
SCO1788	-0,782	-0,59	-0,491
SCO5450	-0,279	-0,394	-0,492
SCO2191	0,882	-0,373	-0,493
SCO4312	-0,34	-0,463	-0,496
SCO6319	-0,28	-0,603	-0,496
SCO6232	-0,636	-0,572	-0,501
SCO0912	0,619	-0,467	-0,503
SCO6506	-0,546	-0,952	-0,504
SCO5549	-0,298	-0,559	-0,505
SCO4021	-0,598	-0,483	-0,509
SCO2546	-0,189	-0,626	-0,509
SCO1549	-0,309	-0,339	-0,51
SCO2254	-0,663	-0,626	-0,51
SCO5448	-0,233	-0,482	-0,512
SCO1210	0,486	-0,467	-0,513
SCO4846	-0,29	-0,603	-0,513
SCO4368	-0,635	-0,465	-0,514
SCO1872	-0,611	-0,511	-0,515
SCO1336	-0,469	-0,484	-0,518
SCO2484	1,107	-0,423	-0,519
SCO3736	-0,959	-0,69	-0,519
SCO4612	-0,399	-0,768	-0,52
SCO3727	0,413	-0,708	-0,521
SCO3690	-0,726	-0,995	-0,521
SCO4342	-0,571	-0,649	-0,522
SCO4015	-1,795	-1,04	-0,523
SCO3414	-0,579	-0,958	-0,524
SCO7494	-0,8	-0,902	-0,526
SCO2223	-0,575	-0,588	-0,528
SCO0596	-0,484	-0,907	-0,528
SCO2121	-0,355	-0,547	-0,529
SCO7311	-0,387	-0,606	-0,529
SCO1279	-0,654	-0,563	-0,531
SCO7038	-0,445	-0,534	-0,532
SCO6501	-0,789	-0,636	-0,532
SCO6751	-1,158	-0,665	-0,534
SCO6257	-0,752	-0,939	-0,534
SCO7012	-0,436	0,905	-0,536
SCO5842	-0,705	-0,611	-0,537
SCO0793	-0,586	-0,476	-0,539
SCO0187	-0,734	-0,659	-0,54
SCO7763	-0,7	-0,815	-0,542
SCO0695	-0,37	-0,893	-0,545
SCO4284	-0,725	-0,661	-0,546
SCO3066	-0,513	-0,672	-0,546
SCO0262	-0,981	-0,475	-0,547
SCO0741	0,24	-0,661	-0,547
SCO0818	-0,51	-0,704	-0,547
SCO6889	-0,928	-0,534	-0,548
SCO4875	-0,457	-0,52	-0,549
SCO2320	-0,51	-0,547	-0,549
SCO4643	-0,913	-0,753	-0,549
SCO3638	-0,444	-0,66	-0,55
SCO6294	-0,434	-0,629	-0,552
SCO1424	-0,337	-0,641	-0,553
SCO4067	-0,735	-0,689	-0,553
SCO2725	-1,278	-0,64	-0,554
SCO2853	-0,5	-0,496	-0,555
SCO4125	-0,539	-0,856	-0,555
SCO3132	0,386	-0,611	-0,556
SCO5380	-0,699	-0,662	-0,557
SCO2797	-0,596	-0,56	-0,56
SCO2228	-0,568	-0,421	-0,562
SCO7139	-0,404	-0,446	-0,563
SCO7033	-0,739	-0,615	-0,563
SCO6923	-0,438	-0,51	-0,564
SCO7274	-0,478	-0,612	-0,564
SCO4730	-0,882	-0,764	-0,566
SCO3875	-0,509	-0,782	-0,567
SCO2475	-0,536	-0,54	-0,568
SCO5603	-0,416	-0,617	-0,568
SCO3534	-0,473	-0,709	-0,568
SCO4829	-0,341	-0,486	-0,57
SCO3628	-0,422	-0,634	-0,57
SCO7032	-0,744	-0,457	-0,571
SCO3559	-0,768	-0,737	-0,573
SCO5369	-0,919	-0,589	-0,574
SCO1231	0,621	-0,504	-0,575
SCO6845	-0,577	-0,78	-0,575
SCO0734	-0,656	-0,48	-0,58
SCO2645	-0,6	-0,418	-0,581
SCO4170	-0,384	-0,782	-0,581
SCO1245	0,863	-0,437	-0,584
SCO5665	-1,472	-0,956	-0,584
SCO2388	1,029	-0,508	-0,586
SCO7347	-0,489	-0,825	-0,586
SCO1296	0,978	-0,442	-0,588
SCO7585	-0,964	-0,966	-0,588
SCO7039	-0,913	-0,646	-0,59
SCO7056	0,281	-0,418	-0,591
SCO4597	-0,664	-0,81	-0,592
SCO4651	-0,706	-0,852	-0,592
SCO4482	-0,668	-0,633	-0,594
SCO4618	-0,518	-0,481	-0,595
SCO2939	-1,431	-0,9	-0,597
SCO3437	-0,662	-0,82	-0,601
SCO6217	-0,846	-0,929	-0,603
SCO4338	-1,222	-0,788	-0,604
SCO5371	-1,13	-0,548	-0,607
SCO2972	-0,49	-0,59	-0,608
SCO3104	-0,497	-0,48	-0,609
SCO6612	-0,225	-0,628	-0,609
SCO4305	-0,502	-0,657	-0,609
SCO5102	-0,537	-0,907	-0,614
SCO2587	-0,649	-0,632	-0,615
SCO1145	-1,548	-0,689	-0,615
SCO6216	-0,682	-0,807	-0,615
SCO0128	-0,804	-0,898	-0,615
SCO3243	-0,749	-0,627	-0,617
SCO3250	-0,491	-0,456	-0,618
SCO0874	-1,307	-0,556	-0,618
SCO4065	-0,353	-0,653	-0,619
SCO7186	-0,646	-0,862	-0,619
SCO3568	-0,614	-0,931	-0,619
SCO0849	-0,577	-0,514	-0,62
SCO5291	0,772	-0,521	-0,621
SCO3928	-0,692	-0,682	-0,622
SCO6504	-0,79	-1,033	-0,623
SCO6486	0,549	-0,489	-0,624
SCO2876	-1,27	-0,779	-0,625
SCO7382	-0,536	-0,683	-0,627
SCO6811	-3,091	-1,99	-0,627
SCO3527	-0,62	-0,563	-0,631
SCO7634	-1,309	-0,943	-0,631
SCO1813	-1,233	-0,748	-0,633
SCO7520	-0,415	-0,637	-0,634
SCO6281	-0,808	-0,987	-0,634
SCO5312	0,234	-0,665	-0,636
SCO4480	-0,616	-1,312	-0,637
SCO4369	-0,628	-0,658	-0,638
SCO0151	-0,712	-0,486	-0,639
SCO7120	-0,701	-0,639	-0,639
SCO4957	-0,902	-0,975	-0,639
SCO7199	-0,361	-0,399	-0,64
SCO6450	-0,743	-0,611	-0,64
SCO5322	-0,614	-0,804	-0,64
SCO2532	-1,273	-0,941	-0,64
SCO6500	-0,844	-1,03	-0,641
SCO3914	-0,463	-0,928	-0,643
SCO7208	-0,824	-1,055	-0,645
SCO4802	-1,85	-1,127	-0,645
SCO3576	0,823	-0,581	-0,647
SCO4166	-1,621	-1,258	-0,648
SCO6599	-0,395	-0,429	-0,652
SCO4989	-0,558	-0,404	-0,653
SCO4407	-0,582	-0,63	-0,653
SCO4171	-0,827	-0,838	-0,654
SCO6847	-0,581	-0,666	-0,656
SCO4073	-0,44	-0,679	-0,658
SCO7362	-1,057	-0,6	-0,659
SCO3983	-0,5	-0,724	-0,659
SCO4607	-0,883	-0,772	-0,659
SCO3297	-0,486	-0,793	-0,659
SCO4782	-0,877	-0,916	-0,661
SCO1544	-0,489	-0,972	-0,661
SCO3313	-1,172	-0,969	-0,662
SCO0459	0,962	-1,143	-0,662
SCO4828	-0,394	-0,707	-0,663
SCO3153	-0,567	-0,739	-0,663
SCO5483	-0,507	-0,588	-0,665
SCO7169	-0,438	-0,83	-0,666
SCO2262	0,259	-0,723	-0,668
SCO3162	-0,386	-0,734	-0,668
SCO4719	-0,389	-0,5	-0,669
SCO3699	-0,886	-0,823	-0,671
SCO5517	-0,97	-0,97	-0,671
SCO1233	1,225	-0,423	-0,673
SCO0647	-0,855	-0,701	-0,674
SCO7202	-0,466	-0,776	-0,676
SCO2565	0,497	-0,789	-0,676
SCO6024	-0,321	-0,475	-0,678
SCO0994	1,791	1,503	-0,684
SCO2172	0,528	-0,672	-0,684
SCO7173	-0,538	-0,832	-0,684
SCO7288	-0,963	-0,92	-0,684
SCO5492	0,735	-0,455	-0,685
SCO5743	0,525	-0,523	-0,685
SCO2975	-0,571	-0,634	-0,687
SCO5056	-0,823	-0,877	-0,687
SCO6280	-0,504	-0,711	-0,69
SCO0439	0,641	-0,566	-0,691
SCO3363	-0,399	-0,83	-0,691
SCO4721	-0,783	-0,649	-0,692
SCO4415	-0,388	-0,704	-0,693
SCO5679	-1,249	-0,795	-0,693
SCO1876	-0,672	-0,922	-0,697
SCO2535	-0,577	-0,6	-0,698
SCO4180	-0,875	-0,697	-0,698
SCO3122	-0,484	-0,679	-0,699
SCO1280	-0,866	-0,712	-0,7
SCO3509	-0,649	-1,21	-0,7
SCO5048	-0,506	-0,631	-0,701
SCO0030	-0,539	-0,748	-0,701
SCO3524	-0,569	-0,523	-0,703
SCO1592	-0,439	-0,674	-0,703
SCO3581	-1,286	-0,767	-0,703
SCO0779	-0,445	-0,686	-0,704
SCO1921	0,483	-0,934	-0,706
SCO4604	-0,498	-0,526	-0,707
SCO3084	-0,885	-0,686	-0,707
SCO2694	-0,727	-0,739	-0,707
SCO1939	-0,307	-0,602	-0,708
SCO2875	-0,763	-0,894	-0,71
SCO6480	-0,736	-1,286	-0,71
SCO4081	-0,604	-0,691	-0,711
SCO2347	-0,487	-0,687	-0,713
SCO6538	-0,318	-0,716	-0,713
SCO2806	-0,551	-0,84	-0,714
SCO0776	-0,724	-0,835	-0,716
SCO3600	-1,076	-0,84	-0,716
SCO2683	-0,544	-0,954	-0,719
SCO4372	0,567	-0,676	-0,722
SCO5426	-0,513	-0,79	-0,724
SCO2808	-1,076	-0,886	-0,724
SCO1731	-1,862	-1,122	-0,725
SCO5451	-0,468	-0,786	-0,726
SCO4429	-0,204	-0,714	-0,727
SCO3956	-2,73	-1,109	-0,728
SCO7165	-0,337	-0,824	-0,729
SCO2224	-0,988	-0,912	-0,731
SCO5704	-0,719	-1,009	-0,731
SCO1714	-0,597	-0,936	-0,733
SCO6805	-0,854	-0,972	-0,733
SCO0080	-0,838	-1,038	-0,733
SCO7358	0,594	-0,579	-0,735
SCO3823	0,411	-0,635	-0,735
SCO4652	-0,501	-0,435	-0,737
SCO1486	-0,443	-0,638	-0,737
SCO4981	-1,156	-0,92	-0,738
SCO5374	-0,937	-0,993	-0,739
SCO4143	-0,957	-0,623	-0,74
SCO4587	-0,989	-1,27	-0,74
SCO5493	-0,941	-1	-0,742
SCO1167	-0,737	-0,592	-0,743
SCO1246	0,711	-0,593	-0,743
