Gene	Average log2 MII24h/MI12h	Average log2 MII48h/MI12h	Average log2 MII72h/MI12h
SCO3487	0,979	4,509	3,836
SCO6655	0,99	4,047	3,826
SCO1630	4,315	3,908	3,748
SCO4335	2,127	3,289	3,585
SCO0381	2,378	3,499	3,582
SCO5175	2,411	3,822	3,546
SCO3579	2,945	3,444	3,526
SCO0393	2,454	3,551	3,51
SCO5174	2,227	3,54	3,506
SCO6543	0,56	2,815	3,5
SCO3324	2,74	3,109	3,481
SCO4768	2,761	2,97	3,479
SCO1627	4,226	3,732	3,45
SCO7336	0,59	1,308	3,445
SCO2805	0,833	3,553	3,443
SCO3113	1,397	3,299	3,44
SCO7701	1,32	3,545	3,439
SCO3108	0,719	0,667	3,425
SCO7453	1,507	1,703	3,411
SCO0396	2,724	3,669	3,392
SCO5191	-1,97	2,061	3,316
SCO0399	2,753	3,647	3,307
SCO5351	0,826	2,788	3,305
SCO0684	2,714	3,426	3,292
SCO7699	1,383	3,7	3,291
SCO0395	2,673	3,45	3,24
SCO3134	0,916	2,997	3,213
SCO0394	2,365	3,267	3,196
SCO7252	3,576	3,634	3,192
SCO5190	-1,714	2,032	3,176
SCO7253	1,216	3,104	3,174
SCO5834	1,461	3,106	3,173
SCO2302	2,614	3,114	3,168
SCO4173	2,497	2,803	3,157
SCO3714	1,687	3,474	3,149
SCO4412	0,768	2,627	3,135
SCO5582	2,437	3,222	3,122
SCO0585	2,754	3,467	3,119
SCO0382	1,928	3,073	3,1
SCO6442	0,618	3,215	3,098
SCO5177	2,595	3,342	3,038
SCO0944	1,019	3,184	3,02
SCO5995	2,363	3,073	3,018
SCO1860	2,73	3,369	3,003
SCO3327	0,968	2,192	3,002
SCO0141	1,743	3,301	2,995
SCO0867	2,706	3,422	2,989
SCO0400	2,353	3,28	2,988
SCO2525	2,241	3,221	2,984
SCO4176	1,342	2,399	2,971
SCO1835	1,768	2,286	2,966
SCO0954	1,507	3,247	2,944
