"gene","logFC","FDR","add_variable","time","data_name"
"SCO0654",-2.12485527,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0655",0.444970005,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0655",-1.625216235,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0655",-2.548040096,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0655",-1.223127528,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0655",-2.487872708,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0660",0.437510143,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0660",-0.162170696,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0660",-0.155870178,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0660",-0.405391434,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0660",-0.039790307,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0660",0.157839644,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0689",0.062667347,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0689",-0.319073183,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0689",-0.556987155,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0689",0.269743809,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0689",-0.127583918,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0689",-0.378823943,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0701",0.111209819,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0701",0.077435025,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0701",-0.119386383,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0701",0.246031376,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0701",0.286999753,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0701",0.085400991,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0736",0.417123596,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0736",-0.370271471,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0736",0.044055208,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0736",-0.446500149,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0736",-0.403744759,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0736",-0.213959644,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0743",-0.069844905,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0743",-0.784547594,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0743",-1.250964416,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0743",-0.19263079,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0743",0.00336498,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0743",-0.056677433,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0752",0.601919624,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0752",-0.388631261,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0752",-0.246512049,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0752",-0.398398341,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0834",-2.624706707,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0834",-4.098406591,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0834",-0.353272931,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0834",-1.595030954,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0834",-1.848641083,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0890",0.321399352,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0890",0.013114692,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0890",0.017035715,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0890",0.458263377,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0890",0.117422944,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0890",0.161222225,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0934",0.095806355,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0934",-1.987083477,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0934",-2.615798056,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0934",-0.308481767,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0934",-1.916741972,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0934",-2.302728348,0,"whiHvsWT",48,"whiAH_scoe"
"SCO0973",0.479084082,0,"whiAvsWT",18,"whiAH_scoe"
"SCO0973",-0.111719065,0,"whiAvsWT",36,"whiAH_scoe"
"SCO0973",-0.084306742,0,"whiAvsWT",48,"whiAH_scoe"
"SCO0973",0.52342254,0,"whiHvsWT",18,"whiAH_scoe"
"SCO0973",0.03240057,0,"whiHvsWT",36,"whiAH_scoe"
"SCO0973",0.16236612,0,"whiHvsWT",48,"whiAH_scoe"
"SCO1048",0.223623796,0,"whiAvsWT",36,"whiAH_scoe"
"SCO1048",0.130263712,0,"whiAvsWT",48,"whiAH_scoe"
"SCO1048",0.279321284,0,"whiHvsWT",18,"whiAH_scoe"
"SCO1048",0.578251729,0,"whiHvsWT",36,"whiAH_scoe"
"SCO1048",0.352500048,0,"whiHvsWT",48,"whiAH_scoe"
"SCO1076",0.089043016,0,"whiAvsWT",18,"whiAH_scoe"
"SCO1076",-0.094451007,0,"whiAvsWT",36,"whiAH_scoe"
"SCO1076",-0.157748032,0,"whiAvsWT",48,"whiAH_scoe"
"SCO1076",0.073842918,0,"whiHvsWT",18,"whiAH_scoe"
"SCO1076",0.033081316,0,"whiHvsWT",36,"whiAH_scoe"
"SCO1076",-0.073709489,0,"whiHvsWT",48,"whiAH_scoe"
