"gene","logFC","FDR","time","add_variable","data_name"
"SCO0720",0.000356,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0720",0.91052,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0743",1.011,0,32,"DargR.M145","argR_2018"
"SCO0743",0.983,0,42,"DargR.M145","argR_2018"
"SCO0743",0.257,0,49,"DargR.M145","argR_2018"
"SCO0743",0.367,0,56,"DargR.M145","argR_2018"
"SCO0743",0.052,0,66,"DargR.M145","argR_2018"
"SCO0743",0.003477,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0743",0.001858,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0743",0.423542,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0743",0.427319,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0743",0.951598,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0747",-0.303,0,32,"DargR.M145","argR_2018"
"SCO0747",-0.705,0,42,"DargR.M145","argR_2018"
"SCO0747",0.202,0,49,"DargR.M145","argR_2018"
"SCO0747",0.157,0,56,"DargR.M145","argR_2018"
"SCO0747",0.197,0,66,"DargR.M145","argR_2018"
"SCO0747",0.41467,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0747",0.003025,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0747",0.400769,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0747",0.699028,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0747",0.56509,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0749",0.231,0,32,"DargR.M145","argR_2018"
"SCO0749",-0.29,0,42,"DargR.M145","argR_2018"
"SCO0749",0.118,0,49,"DargR.M145","argR_2018"
"SCO0749",0.583,0,56,"DargR.M145","argR_2018"
"SCO0749",0.429,0,66,"DargR.M145","argR_2018"
"SCO0749",0.303441,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0749",0.068257,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0749",0.466182,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0749",0.000918,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0749",0.008149,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0753",0.892,0,32,"DargR.M145","argR_2018"
"SCO0753",-0.156,0,42,"DargR.M145","argR_2018"
"SCO0753",-0.229,0,49,"DargR.M145","argR_2018"
"SCO0753",-0.247,0,56,"DargR.M145","argR_2018"
"SCO0753",0.402,0,66,"DargR.M145","argR_2018"
"SCO0753",0.001166,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0753",0.585987,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0753",0.356729,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0753",0.512944,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0753",0.133954,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0758",0.362,0,32,"DargR.M145","argR_2018"
"SCO0758",1.45,0,42,"DargR.M145","argR_2018"
"SCO0758",1.875,0,49,"DargR.M145","argR_2018"
"SCO0758",1.366,0,56,"DargR.M145","argR_2018"
"SCO0758",0.878,0,66,"DargR.M145","argR_2018"
"SCO0758",0.620451,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0758",8e-05,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0758",5e-06,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0758",0.000437,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0758",0.012654,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0762",-2.195,0,32,"DargR.M145","argR_2018"
"SCO0762",-1.835,0,42,"DargR.M145","argR_2018"
"SCO0762",-0.266,0,49,"DargR.M145","argR_2018"
"SCO0762",-0.893,0,56,"DargR.M145","argR_2018"
"SCO0762",-0.216,0,66,"DargR.M145","argR_2018"
"SCO0762",0.000112,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0762",0.000323,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0762",0.610351,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0762",0.139891,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0762",0.830642,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0774",-0.86,0,32,"DargR.M145","argR_2018"
"SCO0774",-1.439,0,42,"DargR.M145","argR_2018"
"SCO0774",-2.552,0,49,"DargR.M145","argR_2018"
"SCO0774",-1.874,0,56,"DargR.M145","argR_2018"
"SCO0774",-0.215,0,66,"DargR.M145","argR_2018"
"SCO0774",0.200579,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0774",0.005108,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0774",1.8e-05,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0774",0.001109,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0774",0.840358,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0775",-0.623,0,32,"DargR.M145","argR_2018"
"SCO0775",-0.578,0,42,"DargR.M145","argR_2018"
"SCO0775",-0.735,0,49,"DargR.M145","argR_2018"
"SCO0775",-0.836,0,56,"DargR.M145","argR_2018"
"SCO0775",0.238,0,66,"DargR.M145","argR_2018"
"SCO0775",0.01669,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0775",0.012463,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0775",0.002624,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0775",0.001287,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0775",0.436908,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0789",-0.05,0,32,"DargR.M145","argR_2018"
"SCO0789",0.519,0,42,"DargR.M145","argR_2018"
"SCO0789",1.101,0,49,"DargR.M145","argR_2018"
"SCO0789",0.854,0,56,"DargR.M145","argR_2018"
"SCO0789",0.576,0,66,"DargR.M145","argR_2018"
"SCO0789",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0789",0.013464,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0789",9e-06,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0789",0.000363,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0789",0.007963,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0790",0.271,0,32,"DargR.M145","argR_2018"
"SCO0790",0.31,0,42,"DargR.M145","argR_2018"
"SCO0790",0.953,0,49,"DargR.M145","argR_2018"
"SCO0790",1.449,0,56,"DargR.M145","argR_2018"
"SCO0790",1.132,0,66,"DargR.M145","argR_2018"
"SCO0790",0.746534,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0790",0.403475,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0790",0.006001,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0790",0.000165,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0790",0.001242,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0792",-0.234,0,32,"DargR.M145","argR_2018"
"SCO0792",0.336,0,42,"DargR.M145","argR_2018"
"SCO0792",0.46,0,49,"DargR.M145","argR_2018"
"SCO0792",0.773,0,56,"DargR.M145","argR_2018"
"SCO0792",0.675,0,66,"DargR.M145","argR_2018"
"SCO0792",0.683862,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0792",0.215202,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0792",0.067385,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0792",0.007744,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0792",0.011395,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0793",0.219,0,32,"DargR.M145","argR_2018"
"SCO0793",0.983,0,42,"DargR.M145","argR_2018"
"SCO0793",1.654,0,49,"DargR.M145","argR_2018"
"SCO0793",1.395,0,56,"DargR.M145","argR_2018"
"SCO0793",0.987,0,66,"DargR.M145","argR_2018"
"SCO0793",0.842078,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0793",0.002757,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0793",1.3e-05,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0793",0.000181,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0793",0.003384,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0794",0.017,0,32,"DargR.M145","argR_2018"
"SCO0794",-0.396,0,42,"DargR.M145","argR_2018"
"SCO0794",-0.262,0,49,"DargR.M145","argR_2018"
"SCO0794",-0.209,0,56,"DargR.M145","argR_2018"
"SCO0794",-0.106,0,66,"DargR.M145","argR_2018"
"SCO0794",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0794",0.001462,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0794",0.027973,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0794",0.178355,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0794",0.544205,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0807",0.664,0,32,"DargR.M145","argR_2018"
"SCO0807",0.303,0,42,"DargR.M145","argR_2018"
"SCO0807",0.1,0,49,"DargR.M145","argR_2018"
"SCO0807",0.24,0,56,"DargR.M145","argR_2018"
"SCO0807",0.014,0,66,"DargR.M145","argR_2018"
"SCO0807",0.001989,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0807",0.123551,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0807",0.627762,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0807",0.388547,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0807",0.97916,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0818",-0.257,0,32,"DargR.M145","argR_2018"
"SCO0818",-0.635,0,42,"DargR.M145","argR_2018"
"SCO0818",-0.223,0,49,"DargR.M145","argR_2018"
"SCO0818",-0.002,0,56,"DargR.M145","argR_2018"
"SCO0818",0.16,0,66,"DargR.M145","argR_2018"
"SCO0818",0.420884,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0818",0.001865,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0818",0.264258,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0818",0.997454,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0818",0.596538,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0831",0.362,0,32,"DargR.M145","argR_2018"
"SCO0831",1.504,0,42,"DargR.M145","argR_2018"
"SCO0831",1.606,0,49,"DargR.M145","argR_2018"
"SCO0831",1.293,0,56,"DargR.M145","argR_2018"
"SCO0831",1.108,0,66,"DargR.M145","argR_2018"
"SCO0831",0.130434,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0831",0,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0831",0,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0831",0,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0831",2e-06,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0832",0.128,0,32,"DargR.M145","argR_2018"
"SCO0832",2.034,0,42,"DargR.M145","argR_2018"
"SCO0832",2.157,0,49,"DargR.M145","argR_2018"
"SCO0832",1.488,0,56,"DargR.M145","argR_2018"
"SCO0832",1.621,0,66,"DargR.M145","argR_2018"
"SCO0832",0.958903,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0832",0,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0832",0,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0832",2e-05,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0832",4e-06,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0833",-0.004,0,32,"DargR.M145","argR_2018"
"SCO0833",2.049,0,42,"DargR.M145","argR_2018"
"SCO0833",2.211,0,49,"DargR.M145","argR_2018"
"SCO0833",1.62,0,56,"DargR.M145","argR_2018"
"SCO0833",1.541,0,66,"DargR.M145","argR_2018"
"SCO0833",0.99951,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0833",0,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0833",0,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0833",3e-06,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0833",4e-06,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0834",-0.043,0,32,"DargR.M145","argR_2018"
"SCO0834",3.118,0,42,"DargR.M145","argR_2018"
"SCO0834",2.889,0,49,"DargR.M145","argR_2018"
"SCO0834",1.95,0,56,"DargR.M145","argR_2018"
"SCO0834",2.613,0,66,"DargR.M145","argR_2018"
"SCO0834",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0834",4e-06,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0834",1.7e-05,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0834",0.002492,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0834",5.1e-05,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0843",0.324,0,32,"DargR.M145","argR_2018"
"SCO0843",0.821,0,42,"DargR.M145","argR_2018"
"SCO0843",0.927,0,49,"DargR.M145","argR_2018"
"SCO0843",1.033,0,56,"DargR.M145","argR_2018"
"SCO0843",0.709,0,66,"DargR.M145","argR_2018"
"SCO0843",0.508583,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0843",0.004121,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0843",0.002107,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0843",0.001207,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0843",0.015423,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0844",0.239,0,32,"DargR.M145","argR_2018"
"SCO0844",1.246,0,42,"DargR.M145","argR_2018"
"SCO0844",1.426,0,49,"DargR.M145","argR_2018"
"SCO0844",1.6,0,56,"DargR.M145","argR_2018"
"SCO0844",1.431,0,66,"DargR.M145","argR_2018"
"SCO0844",0.870917,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0844",0.001434,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0844",0.000626,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0844",0.000262,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0844",0.000478,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0845",-0.083,0,32,"DargR.M145","argR_2018"
"SCO0845",1.55,0,42,"DargR.M145","argR_2018"
"SCO0845",0.976,0,49,"DargR.M145","argR_2018"
"SCO0845",1.539,0,56,"DargR.M145","argR_2018"
"SCO0845",1.096,0,66,"DargR.M145","argR_2018"
"SCO0845",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0845",0.002468,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0845",0.038988,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0845",0.004738,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0845",0.036654,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0847",0.135,0,32,"DargR.M145","argR_2018"
"SCO0847",1.329,0,42,"DargR.M145","argR_2018"
"SCO0847",1.411,0,49,"DargR.M145","argR_2018"
"SCO0847",0.565,0,56,"DargR.M145","argR_2018"
"SCO0847",0.531,0,66,"DargR.M145","argR_2018"
"SCO0847",0.920288,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0847",6e-06,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0847",4e-06,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0847",0.054654,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0847",0.045234,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0850",0.101,0,32,"DargR.M145","argR_2018"
"SCO0850",3.014,0,42,"DargR.M145","argR_2018"
"SCO0850",2.267,0,49,"DargR.M145","argR_2018"
"SCO0850",1.201,0,56,"DargR.M145","argR_2018"
"SCO0850",1.341,0,66,"DargR.M145","argR_2018"
"SCO0850",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0850",0,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0850",2e-06,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0850",0.005864,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0850",0.001031,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0851",-0.448,0,32,"DargR.M145","argR_2018"
"SCO0851",-0.538,0,42,"DargR.M145","argR_2018"
"SCO0851",-0.336,0,49,"DargR.M145","argR_2018"
"SCO0851",-0.251,0,56,"DargR.M145","argR_2018"
"SCO0851",-0.118,0,66,"DargR.M145","argR_2018"
"SCO0851",0.000956,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0851",4.6e-05,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0851",0.007143,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0851",0.07684,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0851",0.467561,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0853",-0.253,0,32,"DargR.M145","argR_2018"
"SCO0853",2.076,0,42,"DargR.M145","argR_2018"
"SCO0853",3.422,0,49,"DargR.M145","argR_2018"
"SCO0853",3.126,0,56,"DargR.M145","argR_2018"
"SCO0853",3.585,0,66,"DargR.M145","argR_2018"
"SCO0853",0.908134,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0853",3e-05,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0853",0,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0853",0,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0853",0,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0870",0.848,0,32,"DargR.M145","argR_2018"
"SCO0870",1.083,0,42,"DargR.M145","argR_2018"
"SCO0870",1.09,0,49,"DargR.M145","argR_2018"
"SCO0870",1.288,0,56,"DargR.M145","argR_2018"
"SCO0870",1.492,0,66,"DargR.M145","argR_2018"
"SCO0870",0.003777,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0870",0.000114,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0870",0.000184,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0870",3.3e-05,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0870",3e-06,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0871",0.669,0,32,"DargR.M145","argR_2018"
"SCO0871",0.582,0,42,"DargR.M145","argR_2018"
"SCO0871",0.761,0,49,"DargR.M145","argR_2018"
"SCO0871",0.971,0,56,"DargR.M145","argR_2018"
"SCO0871",0.883,0,66,"DargR.M145","argR_2018"
"SCO0871",0.024493,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0871",0.02631,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0871",0.005329,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0871",0.000985,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0871",0.001374,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0872",0.16,0,32,"DargR.M145","argR_2018"
"SCO0872",0.566,0,42,"DargR.M145","argR_2018"
"SCO0872",0.605,0,49,"DargR.M145","argR_2018"
"SCO0872",0.812,0,56,"DargR.M145","argR_2018"
"SCO0872",0.312,0,66,"DargR.M145","argR_2018"
"SCO0872",0.838525,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0872",0.015789,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0872",0.011388,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0872",0.002071,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0872",0.257938,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0894",-0.087,0,32,"DargR.M145","argR_2018"
"SCO0894",0.012,0,42,"DargR.M145","argR_2018"
"SCO0894",0.462,0,49,"DargR.M145","argR_2018"
"SCO0894",0.449,0,56,"DargR.M145","argR_2018"
"SCO0894",0.433,0,66,"DargR.M145","argR_2018"
"SCO0894",0.908134,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0894",0.954543,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0894",0.004418,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0894",0.009901,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0894",0.007044,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0895",0.098,0,32,"DargR.M145","argR_2018"
"SCO0895",0.043,0,42,"DargR.M145","argR_2018"
"SCO0895",1.116,0,49,"DargR.M145","argR_2018"
"SCO0895",1.505,0,56,"DargR.M145","argR_2018"
"SCO0895",1.426,0,66,"DargR.M145","argR_2018"
"SCO0895",0.945346,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0895",0.879998,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0895",6e-06,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0895",0,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0895",0,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0896",0.54,0,32,"DargR.M145","argR_2018"
"SCO0896",1.155,0,42,"DargR.M145","argR_2018"
"SCO0896",1.138,0,49,"DargR.M145","argR_2018"
"SCO0896",1.61,0,56,"DargR.M145","argR_2018"
"SCO0896",1.599,0,66,"DargR.M145","argR_2018"
"SCO0896",0.139827,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0896",0.000174,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0896",0.000364,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0896",6e-06,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0896",4e-06,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0897",0.074,0,32,"DargR.M145","argR_2018"
"SCO0897",0.552,0,42,"DargR.M145","argR_2018"
"SCO0897",0.6,0,49,"DargR.M145","argR_2018"
"SCO0897",1.21,0,56,"DargR.M145","argR_2018"
"SCO0897",1.095,0,66,"DargR.M145","argR_2018"
"SCO0897",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0897",0.127775,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0897",0.080445,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0897",0.002256,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0897",0.002903,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0906",0.242,0,32,"DargR.M145","argR_2018"
"SCO0906",0.788,0,42,"DargR.M145","argR_2018"
"SCO0906",0.66,0,49,"DargR.M145","argR_2018"
"SCO0906",0.221,0,56,"DargR.M145","argR_2018"
"SCO0906",-0.156,0,66,"DargR.M145","argR_2018"
"SCO0906",0.508583,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0906",0.00036,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0906",0.003085,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0906",0.500424,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0906",0.641521,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0907",0.152,0,32,"DargR.M145","argR_2018"
"SCO0907",0.474,0,42,"DargR.M145","argR_2018"
"SCO0907",0.593,0,49,"DargR.M145","argR_2018"
"SCO0907",0.26,0,56,"DargR.M145","argR_2018"
"SCO0907",-0.031,0,66,"DargR.M145","argR_2018"
"SCO0907",0.689383,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0907",0.005412,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0907",0.001162,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0907",0.257698,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0907",0.946054,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0910",-0.036,0,32,"DargR.M145","argR_2018"
"SCO0910",0.739,0,42,"DargR.M145","argR_2018"
"SCO0910",0.014,0,49,"DargR.M145","argR_2018"
"SCO0910",-0.176,0,56,"DargR.M145","argR_2018"
"SCO0910",-0.321,0,66,"DargR.M145","argR_2018"
"SCO0910",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0910",0.001722,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0910",0.961659,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0910",0.647303,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0910",0.229781,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0915",0.056,0,32,"DargR.M145","argR_2018"
"SCO0915",1.462,0,42,"DargR.M145","argR_2018"
"SCO0915",2.459,0,49,"DargR.M145","argR_2018"
"SCO0915",1.006,0,56,"DargR.M145","argR_2018"
"SCO0915",0.742,0,66,"DargR.M145","argR_2018"
"SCO0915",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0915",0.033225,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0915",0.000925,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0915",0.288331,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0915",0.402606,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0919",0.48,0,32,"DargR.M145","argR_2018"
"SCO0919",2.054,0,42,"DargR.M145","argR_2018"
"SCO0919",1.684,0,49,"DargR.M145","argR_2018"
"SCO0919",1.32,0,56,"DargR.M145","argR_2018"
"SCO0919",1.544,0,66,"DargR.M145","argR_2018"
"SCO0919",0.612181,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0919",7e-05,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0919",0.001042,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0919",0.014027,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0919",0.001918,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0925",1.263,0,32,"DargR.M145","argR_2018"
"SCO0925",1.041,0,42,"DargR.M145","argR_2018"
"SCO0925",1.045,0,49,"DargR.M145","argR_2018"
"SCO0925",0.888,0,56,"DargR.M145","argR_2018"
"SCO0925",1.454,0,66,"DargR.M145","argR_2018"
"SCO0925",0.004218,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0925",0.008683,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0925",0.009963,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0925",0.053188,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0925",0.00058,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0927",-0.115,0,32,"DargR.M145","argR_2018"
"SCO0927",-0.146,0,42,"DargR.M145","argR_2018"
"SCO0927",-0.474,0,49,"DargR.M145","argR_2018"
"SCO0927",-0.349,0,56,"DargR.M145","argR_2018"
"SCO0927",-0.252,0,66,"DargR.M145","argR_2018"
"SCO0927",0.842708,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0927",0.447999,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0927",0.007176,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0927",0.084045,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0927",0.191505,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0931",1.892,0,32,"DargR.M145","argR_2018"
"SCO0931",2.178,0,42,"DargR.M145","argR_2018"
"SCO0931",0.006,0,49,"DargR.M145","argR_2018"
"SCO0931",0.606,0,56,"DargR.M145","argR_2018"
"SCO0931",-0.486,0,66,"DargR.M145","argR_2018"
"SCO0931",0.004401,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0931",0.000451,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0931",0.994177,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0931",0.512944,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0931",0.584346,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0932",1.438,0,32,"DargR.M145","argR_2018"
"SCO0932",1.577,0,42,"DargR.M145","argR_2018"
"SCO0932",0.083,0,49,"DargR.M145","argR_2018"
"SCO0932",0.441,0,56,"DargR.M145","argR_2018"
"SCO0932",-0.6,0,66,"DargR.M145","argR_2018"
"SCO0932",0.01892,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0932",0.004121,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0932",0.901168,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0932",0.62177,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0932",0.388312,0,66,"p.BH.DargR.M145","argR_2018"
