"gene","logFC","FDR","add_variable","data_name","time"
"SCO5191",2.061,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5191",3.316,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5351",0.826,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5351",2.788,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5351",3.305,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO0684",2.714,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO0684",3.426,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO0684",3.292,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3134",0.916,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3134",2.997,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3134",3.213,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO7253",1.216,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO7253",3.104,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO7253",3.174,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5834",1.461,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5834",3.106,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5834",3.173,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2302",2.614,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2302",3.114,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2302",3.168,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4173",2.497,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4173",2.803,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4173",3.157,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5177",2.595,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5177",3.342,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5177",3.038,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO0944",1.019,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO0944",3.184,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO0944",3.02,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1860",2.73,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1860",3.369,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1860",3.003,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1835",1.768,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1835",2.286,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1835",2.966,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1375",1.909,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1375",2.416,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1375",2.873,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
